종목명,ASVI_수요예측일,ASVI_공모청약일,ASVI_청약일_상장전일_기간,감성점수(평균),기관청약경쟁률,의무보유확약률(%),환율,cd유통수익률,소비자물가지수,생산자물가지수,산업생산지수,경기선행종합지수,소비자심리지수,유통가능물량(백만원),시초가 수익률,밴드수익률
유바이오로직스,0.5927168583575888,0.7969085311197035,0.0184215545088397,0.6111111111111112,31.09,0.0,1185.1,1.5,97.366,98.37,92.7,89.7,93.3,19200.0,-0.07,-0.0625
호전실업,1.0789654087940477,1.5293955124529184,-0.0370283154710541,0.625,40.43,2.5,1144.92,1.49,97.632,98.75,91.8,90.1,94.5,41616.75,-0.02,-0.2307692307692307
피씨엘,0.3891515815052511,1.171462536703891,0.1569996343381638,0.8,6.61,0.46,1144.92,1.49,97.632,98.75,91.8,90.1,94.5,12000.0,-0.03,-0.3191489361702128
모바일어플라이언스,0.9421225180764684,1.336284179569648,0.3026989546775849,0.9,471.31,19.13,1144.92,1.49,97.632,98.75,91.8,90.1,94.5,13182.0,0.69,0.0769230769230768
신신제약,0.8605272077050166,0.6728831584258956,0.0977102160896123,0.4090909090909091,40.88,0.06,1144.92,1.49,97.632,98.75,91.8,90.1,94.5,14625.0,0.37,-0.2857142857142857
에스디생명공학,1.0647991509008223,1.144393591504214,0.3400531723767447,0.5625,26.66,0.0,1134.77,1.48,97.565,98.71,102.0,90.5,97.0,57600.0,0.27,-0.2727272727272727
덴티움,0.596034626009275,0.6718697358997927,-0.098336554313739,0.5882352941176471,22.96,0.4,1134.77,1.48,97.565,98.71,102.0,90.5,97.0,81466.59,0.19,-0.3263157894736842
아스타,0.9372340194760184,1.4414464595455243,0.0581163152979516,0.5,18.4,0.0,1134.77,1.48,97.565,98.71,102.0,90.5,97.0,14000.0,0.21,-0.4838709677419355
코미코,-0.0563847662109093,0.1065343393641207,0.1198206980114757,0.8,580.68,30.91,1134.77,1.48,97.565,98.71,102.0,90.5,97.0,32500.0,1.23,0.0833333333333332
서진시스템,1.214895743008794,1.7731024979451795,0.3234914776781544,0.6428571428571429,588.93,36.65,1134.77,1.48,97.565,98.71,102.0,90.5,97.0,35750.0,0.6,0.0869565217391303
이엘피,0.7274677510462304,1.1794878186865194,0.1273618527315413,1.0,527.12,11.26,1132.73,1.43,97.442,98.5,97.1,91.0,101.8,16000.0,0.1,0.0810810810810811
와이엠티,1.2599703040522203,0.5475917053271928,0.0331439511690117,0.6666666666666666,706.16,42.75,1132.73,1.43,97.442,98.5,97.1,91.0,101.8,11815.17,0.67,0.1999999999999999
넷마블게임즈,0.139143604470731,0.7975575921540585,0.0794815345625525,0.75,240.74,47.1,1125.28,1.39,97.546,98.23,98.1,91.2,109.0,2661717.08,0.05,0.1294964028776979
ING생명보험,-0.153025177363248,0.4318773180450916,-0.3995726167532076,0.4166666666666667,3.97,0.13,1125.28,1.39,97.546,98.23,98.1,91.2,109.0,1105500.0,-0.05,-0.0769230769230768
삼양옵틱스,0.4567584551272947,1.3574523572931736,0.1911209217058408,0.5,33.2,8.7,1130.04,1.38,97.338,97.85,101.3,91.6,112.3,66800.0,0.0,-0.1045576407506702
필옵틱스,0.913039536444475,1.4428560353972544,0.029602625529297,0.6153846153846154,647.18,13.25,1130.04,1.38,97.338,97.85,101.3,91.6,112.3,55680.0,0.0,0.0786516853932584
보라티알,1.0116010866784948,1.1656231435055355,0.3185615951406327,1.0,557.61,13.3,1130.04,1.38,97.338,97.85,101.3,91.6,112.3,24134.11,0.32,0.0671641791044777
제일홀딩스,0.1839549461644614,1.5420113002244116,0.0678376946023689,0.75,113.98,2.88,1130.04,1.38,97.338,97.85,101.3,91.6,112.3,421886.7,-0.1,-0.0460829493087557
브이원텍,1.07476110314896,0.9578398135749092,0.1633063152668274,0.7,557.47,8.3,1134.4,1.39,97.499,97.92,97.3,91.9,112.5,32373.3,0.14,0.0759878419452888
아우딘퓨쳐스,0.5094062981519603,0.8955157833178884,-0.0907978728563338,0.5,182.60,0.0,1134.4,1.39,97.499,97.92,97.3,91.9,112.5,26000.0,-0.1,-0.0714285714285714
힘스,1.0509612015721408,0.9252661406183592,0.2441199608748684,0.375,729.64,27.48,1134.4,1.39,97.499,97.92,97.3,91.9,112.5,16000.0,0.62,0.1661807580174927
이즈미디어,1.053966988305183,1.0238888880721837,0.1759324628475887,0.6666666666666666,129.22,1.38,1134.4,1.39,97.499,97.92,97.3,91.9,112.5,11400.0,0.12,-0.1428571428571429
셀트리온헬스케어,0.6803786463571333,1.380959417273464,0.0670633265932346,0.7368421052631579,38.06,12.5,1134.4,1.39,97.499,97.92,97.3,91.9,112.5,1008764.0,0.06,0.1156462585034012
디앤씨미디어,0.9817688943363954,1.1784790493212305,0.3445274455305263,0.8333333333333334,539.1,33.5,1130.79,1.39,98.058,98.37,96.3,92.3,111.1,20140.0,0.62,0.0810810810810811
데이타솔루션,1.0669166933259668,1.1179922223118393,0.1759840941606469,0.6,395.83,23.09,1130.79,1.39,98.058,98.37,96.3,92.3,111.1,15180.0,1.0,0.1
